/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/dec.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
/home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/aelib/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
1532.13739593 [6919 8558 6604 9846 3778 8148 6456 6262 6513 6916]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.808414285714
330 70.0
1531.24459183 [6950 8527 6694 9890 3790 8073 6505 6159 6498 6914]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8107
442 70.0
1507.37142072 [6941 8628 6684 9806 3889 8062 6456 6150 6492 6892]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.810885714286
322 70.0
1491.58063812 [6913 8597 6696 9776 3916 8058 6482 6110 6567 6885]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.811885714286
261 70.0
1532.44993393 [6954 8588 6648 9914 3831 8023 6432 6133 6589 6888]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8112
366 70.0
INFO:root:Iter:250 metric:0.163271
1507.10848979 [6934 8633 6549 9862 3951 8048 6454 6124 6592 6853]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.812114285714
436 70.0
1507.28988585 [6946 8645 6621 9818 3898 8014 6480 6104 6559 6915]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.813057142857
316 70.0
1460.01986288 [6954 8673 6641 9629 3989 8023 6472 6017 6663 6939]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.814328571429
402 70.0
1498.2215457 [6958 8695 6669 9729 3914 8033 6441 6005 6670 6886]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.814214285714
301 70.0
1466.11015957 [6990 8604 6713 9677 3949 8018 6500 6045 6605 6899]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.815914285714
324 70.0
INFO:root:Iter:300 metric:0.152855
1493.39458952 [6987 8739 6636 9719 3977 8032 6468 5955 6598 6889]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8158
314 70.0
1465.60233351 [6977 8707 6618 9658 4026 8014 6501 5949 6659 6891]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.816971428571
247 70.0
1471.49006113 [6963 8676 6675 9716 4025 8003 6450 5979 6615 6898]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.817214285714
263 70.0
1491.68535556 [6942 8694 6694 9778 4003 7995 6474 5931 6594 6895]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.817357142857
194 70.0
1491.54765261 [6960 8593 6629 9868 4011 7993 6516 5998 6604 6828]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.817385714286
326 70.0
INFO:root:Iter:350 metric:0.144291
1494.71629415 [6948 8701 6649 9777 3998 8015 6436 5954 6616 6906]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.817557142857
334 70.0
1490.4660345 [6978 8642 6677 9839 4031 7970 6460 5941 6589 6873]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.818442857143
305 70.0
1488.81872637 [6956 8599 6656 9813 3978 7988 6510 5941 6715 6844]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.819085714286
299 70.0
1472.31321396 [6944 8733 6721 9684 4056 7981 6497 5829 6643 6912]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.819842857143
419 70.0
1488.41734739 [6957 8722 6745 9747 4021 7977 6509 5862 6550 6910]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.819628571429
222 70.0
INFO:root:Iter:400 metric:0.137764
1502.41345841 [6967 8775 6700 9755 3985 7973 6514 5873 6570 6888]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.819428571429
211 70.0
1489.22825651 [6942 8727 6756 9760 4005 7968 6467 5962 6514 6899]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.819942857143
293 70.0
1483.57251255 [6953 8685 6756 9767 4015 7967 6450 5962 6531 6914]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.820214285714
165 70.0
1505.56467812 [6960 8585 6830 9847 3908 7956 6480 5954 6590 6890]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.820185714286
347 70.0
1485.00727271 [6968 8638 6766 9790 4015 7977 6513 5895 6563 6875]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.820585714286
332 70.0
INFO:root:Iter:450 metric:0.131062
1437.4862782 [6931 8674 6767 9657 4120 7927 6473 5917 6645 6889]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.821542857143
357 70.0
1425.70417689 [6936 8670 6742 9599 4113 7940 6481 5940 6712 6867]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.822285714286
235 70.0
1451.37638123 [6935 8710 6755 9626 4050 7948 6486 5898 6702 6890]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8221
201 70.0
1431.12116887 [6927 8679 6779 9606 4096 7929 6485 5928 6702 6869]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.822871428571
195 70.0
1397.21043512 [6929 8702 6769 9469 4149 7925 6485 5926 6770 6876]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.823857142857
231 70.0
INFO:root:Iter:500 metric:0.127902
1386.46348672 [6925 8687 6762 9463 4192 7925 6486 5918 6755 6887]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824042857143
164 70.0
1422.79970481 [6938 8670 6717 9614 4133 7915 6497 5938 6715 6863]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8235
260 70.0
1414.25181633 [6913 8699 6735 9507 4093 7930 6480 5942 6822 6879]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.823571428571
261 70.0
1399.04567474 [6928 8663 6782 9461 4104 7921 6494 5921 6810 6916]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824328571429
204 70.0
1388.00979824 [6925 8691 6770 9419 4152 7924 6504 5884 6823 6908]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824857142857
182 70.0
INFO:root:Iter:550 metric:0.124219
1391.00560747 [6949 8620 6778 9526 4162 7917 6506 5976 6712 6854]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8249
344 70.0
1409.94865155 [6964 8625 6797 9561 4100 7915 6510 5986 6678 6864]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824485714286
221 70.0
1393.33980062 [6953 8611 6751 9538 4149 7922 6475 6016 6744 6841]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824757142857
247 70.0
1396.06819318 [6930 8537 6824 9596 4155 7928 6511 5991 6644 6884]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.825271428571
316 70.0
1390.82716396 [6941 8461 6834 9641 4150 7916 6470 6101 6641 6845]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824657142857
INFO:root:Iter:600 metric:0.119173
263 70.0
1401.15438122 [6937 8508 6785 9657 4152 7911 6498 6038 6680 6834]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824828571429
217 70.0
1387.20431084 [6947 8497 6749 9632 4183 7903 6493 6056 6724 6816]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8251
197 70.0
1398.98448883 [6935 8542 6801 9600 4137 7920 6484 6014 6698 6869]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.824957142857
254 70.0
